"CODIGO,""RUBRO"",""VALOR""";;;;
"O2,""GASTOS"",""53,354,570,000""";;;;
"O21,""Funcionamiento"",""17,851,899,000""";;;;
"O211,""Gastos de personal"",""15,446,999,000""";;;;
"O21101,""Planta de personal permanente"",""15,446,999,000""";;;;
"O2110101,""Factores constitutivos de salario"",""11,285,213,000""";;;;
"O2110101001,""Factores salariales comunes"",""10,145,670,000""";;;;
"O211010100101,""Sueldo básico"",""5,780,809,000""";;;;
"O211010100102,""Horas extras, dominicales, festivos y recargos"",""19,632,000""";;;;
"O211010100103,""Gastos de representación"",""726,503,000""";;;;
"O211010100104,""Subsidio de alimentación"",""20,451,000""";;;;
"O211010100105,""Auxilio de transporte"",""35,071,000""";;;;
"O211010100107,""Bonificación por servicios prestados"",""200,884,000""";;;;
"O211010100108,""Prestaciones sociales"",""1,282,547,000""";;;;
"O21101010010801,""Prima de navidad"",""866,589,000""";;;;
"O21101010010802,""Prima de vacaciones"",""415,958,000""";;;;
"O211010100109,""Prima técnica salarial"",""2,079,773,000""";;;;
"O2110101002,""Factores salariales especiales"",""1,139,543,000""";;;;
"O211010100204,""Prima semestral"",""953,029,000""";;;;
"O211010100212,""Prima de antigüedad"",""186,514,000""";;;;
"O21101010021201,""Beneficios a los empleados a corto plazo"",""186,514,000""";;;;
"O2110102,""Contribuciones inherentes a la nómina"",""3,961,844,000""";;;;
"O2110102001,""Aportes a la seguridad social en pensiones"",""1,079,288,000""";;;;
"O211010200101,""Aportes a la seguridad social en pensiones públicas"",""691,467,000""";;;;
"O211010200102,""Aportes a la seguridad social en pensiones privadas"",""387,821,000""";;;;
"O2110102002,""Aportes a la seguridad social en salud"",""764,499,000""";;;;
"O211010200202,""Aportes a la seguridad social en salud privada"",""764,499,000""";;;;
"O2110102003,""Aportes de cesantías"",""1,053,281,000""";;;;
"O211010200301,""Aportes de cesantías a fondos públicos"",""714,303,000""";;;;
"O211010200302,""Aportes de cesantías a fondos privados"",""338,978,000""";;;;
"O2110102004,""Aportes a cajas de compensación familiar"",""415,340,000""";;;;
"O211010200401,""Compensar"",""415,340,000""";;;;
"O2110102005,""Aportes generales al sistema de riesgos laborales"",""134,071,000""";;;;
"O211010200502,""Aportes generales al sistema de riesgos laborales privados"",""134,071,000""";;;;
